"Phylum"	"Size"	"GC"
"Proteobacteria"	4.66677	52.1
"Proteobacteria"	4.63967	52.1
"Proteobacteria"	4.69457	52.1
"Proteobacteria"	4.73153	48.2
"Proteobacteria"	4.73102	49.7
"Proteobacteria"	4.72988	50.9
"Proteobacteria"	4.69091	50.9
"Proteobacteria"	4.69203	51.3
"Proteobacteria"	4.69163	46.5
"Proteobacteria"	4.69427	50.4
"Proteobacteria"	4.72953	46.1
"Proteobacteria"	4.73317	50.9
"Proteobacteria"	4.69399	51.4
"Proteobacteria"	4.69522	51.7
"Proteobacteria"	4.73396	49.6
"Proteobacteria"	4.73167	51.5
"Proteobacteria"	4.73078	50.6
"Proteobacteria"	4.69394	50.8
"Proteobacteria"	4.73223	50.2
"Proteobacteria"	4.73366	48.3
"Proteobacteria"	4.73201	51
"Proteobacteria"	4.69267	50.7
"Proteobacteria"	4.72547	51.9
"Proteobacteria"	4.68909	51.7
"Proteobacteria"	4.73115	49.7
"Proteobacteria"	4.73073	51.1
"Proteobacteria"	4.73169	50.9
"Proteobacteria"	4.69555	51.4
"Proteobacteria"	4.69086	52.1
"Proteobacteria"	4.73522	51.4
"Proteobacteria"	4.73045	51
"Proteobacteria"	4.69353	51.4
"Proteobacteria"	4.68986	51.4
"Proteobacteria"	4.73378	49.2
"Proteobacteria"	4.68763	52
"Proteobacteria"	4.71943	51.5
"Proteobacteria"	4.72764	50.5
"Proteobacteria"	4.72413	51.6
"Proteobacteria"	4.72904	49.4
"Proteobacteria"	4.7247	50.3
"Proteobacteria"	4.69236	52.1
"Proteobacteria"	4.69536	52.1
"Proteobacteria"	4.69615	52
"Proteobacteria"	4.68436	52
"Proteobacteria"	4.65061	52.1
"Proteobacteria"	4.68492	51.7
"Proteobacteria"	4.72083	51.9
"Proteobacteria"	4.69116	51.6
"Proteobacteria"	4.69272	51.8
"Proteobacteria"	4.72656	52
"Proteobacteria"	4.68788	52.1
"Proteobacteria"	4.6858	52
"Proteobacteria"	4.62994	52.1
"Proteobacteria"	4.70838	51
"Proteobacteria"	4.70133	51.9
"Proteobacteria"	4.71767	50.3
"Proteobacteria"	4.71704	50
"Proteobacteria"	4.66895	51.6
"Proteobacteria"	4.71056	51
"Proteobacteria"	4.68586	52.1
"Proteobacteria"	4.7465	50.9
"Proteobacteria"	4.71778	51.6
"Proteobacteria"	4.66696	52.1
"Proteobacteria"	4.71967	51.8
"Proteobacteria"	4.71092	51.5
"Proteobacteria"	4.71486	51.1
"Proteobacteria"	4.73286	51.6
"Proteobacteria"	4.72449	51.8
"Proteobacteria"	4.69448	52
"Proteobacteria"	4.75151	51.9
"Proteobacteria"	4.72539	52
"Proteobacteria"	4.67885	52.1
"Proteobacteria"	4.72536	51.7
"Proteobacteria"	4.67361	52.2
"Proteobacteria"	4.66482	52.1
"Proteobacteria"	4.63572	52.1
"Proteobacteria"	4.69548	51.7
"Proteobacteria"	4.69371	52
"Proteobacteria"	4.65885	52.1
"Proteobacteria"	4.72201	52.2
"Proteobacteria"	4.68165	47.6
"Proteobacteria"	4.72579	47.7001
"Proteobacteria"	5.32206	48.0718
"Proteobacteria"	4.47265	47.6
"Proteobacteria"	4.89208	47.7
"Proteobacteria"	4.84781	47.7
"Proteobacteria"	4.84169	47.7
